time,x,y,z,gx,gy,gz,barometer
1.37,0.36,0.06,0.90,0.32,-1.30,-0.29,0.00
1.395,0.36,0.06,0.90,0.71,-1.39,-0.48,0.00
1.432,0.41,0.06,0.86,0.71,-1.39,-0.48,0.00
1.47,0.41,0.06,0.86,-0.15,-1.57,-0.61,0.00
1.496,0.50,0.11,0.91,-0.15,-1.57,-0.61,0.00
1.525,0.50,0.11,0.91,-0.07,-1.22,-0.48,0.00
1.56,0.64,0.13,0.82,-0.07,-1.22,-0.48,0.00
1.634,0.64,0.13,0.82,-0.54,-1.46,-0.30,0.00
1.638,0.70,0.15,0.76,-0.54,-1.46,-0.30,0.00
1.672,0.70,0.15,0.76,-0.01,-1.89,0.02,0.00
1.687,0.76,0.12,0.62,-0.01,-1.89,0.02,0.00
1.74,0.76,0.12,0.62,-0.10,-2.04,0.27,0.00
1.749,0.84,0.14,0.55,-0.10,-2.04,0.27,0.00
1.793,0.84,0.14,0.55,-0.00,-2.18,-0.24,0.00
1.813,0.93,0.12,0.44,-0.00,-2.18,-0.24,0.00
1.869,0.93,0.12,0.44,-0.06,-2.81,0.26,0.00
1.877,1.04,0.16,0.32,-0.06,-2.81,0.26,0.00
1.927,1.04,0.16,0.32,-0.15,-2.53,-0.09,0.00
1.94,1.06,0.16,0.14,-0.15,-2.53,-0.09,0.00
2.0,1.06,0.16,0.14,-0.09,-2.94,0.01,0.00
2.004,1.15,0.14,-0.04,-0.09,-2.94,0.01,0.00
2.061,1.15,0.14,-0.04,-0.47,-2.49,0.13,0.00
2.067,1.09,0.17,-0.20,-0.47,-2.49,0.13,0.00
2.128,1.09,0.17,-0.20,-0.68,-3.19,0.25,0.00
2.131,1.01,0.14,-0.25,-0.68,-3.19,0.25,0.00
2.193,0.91,0.09,-0.48,-0.68,-3.19,0.25,0.00
2.195,0.91,0.09,-0.48,-0.16,-2.83,0.30,0.00
2.257,0.78,0.11,-0.60,-0.16,-2.83,0.30,0.00
2.262,0.78,0.11,-0.60,-0.36,-2.15,0.04,0.00
2.33,0.78,0.11,-0.60,-0.22,-2.10,-0.11,0.00
2.388,0.65,0.10,-0.73,-0.22,-2.10,-0.11,0.00
2.397,0.65,0.10,-0.73,-0.02,-1.63,-0.23,0.00
2.448,0.53,0.14,-0.77,-0.02,-1.63,-0.23,0.00
2.464,0.53,0.14,-0.77,-0.05,-1.99,0.08,0.00
2.512,0.42,0.14,-0.85,-0.05,-1.99,0.08,0.00
2.531,0.42,0.14,-0.85,-0.23,-1.41,-0.11,0.00
2.575,0.35,0.16,-0.88,-0.23,-1.41,-0.11,0.00
2.598,0.35,0.16,-0.88,-0.01,-1.10,-0.17,0.00
2.641,0.28,0.19,-0.87,-0.01,-1.10,-0.17,0.00
2.665,0.28,0.19,-0.87,0.02,-1.05,-0.30,0.00
2.702,0.20,0.18,-0.91,0.02,-1.05,-0.30,0.00
2.732,0.20,0.18,-0.91,-0.41,-0.67,-0.27,0.00
2.766,0.10,0.15,-0.97,-0.41,-0.67,-0.27,0.00
2.802,0.10,0.15,-0.97,-0.01,-0.76,-0.07,0.00
2.829,0.04,0.19,-0.97,-0.01,-0.76,-0.07,0.00
2.867,0.04,0.19,-0.97,0.17,-0.99,-0.27,0.00
2.907,0.02,0.22,-0.94,0.17,-0.99,-0.27,0.00
2.936,0.02,0.22,-0.94,-0.04,-1.29,-0.07,0.00
2.956,-0.09,0.19,-0.94,-0.04,-1.29,-0.07,0.00
3.002,-0.09,0.19,-0.94,-0.17,-2.26,0.04,0.00
3.02,-0.14,0.13,-0.90,-0.17,-2.26,0.04,0.00
3.069,-0.14,0.13,-0.90,-0.41,-2.28,0.43,0.00
3.085,-0.25,0.23,-0.89,-0.41,-2.28,0.43,0.00
3.137,-0.25,0.23,-0.89,-0.58,-2.42,0.10,0.00
3.149,-0.37,0.20,-0.78,-0.58,-2.42,0.10,0.00
3.214,-0.37,0.20,-0.78,-0.41,-2.35,0.16,0.00
3.225,-0.50,0.29,-0.69,-0.41,-2.35,0.16,0.00
3.27,-0.50,0.29,-0.69,-0.58,-2.62,0.28,0.00
3.274,-0.60,0.30,-0.59,-0.58,-2.62,0.28,0.00
3.337,-0.71,0.34,-0.48,-0.58,-2.62,0.28,0.00
3.339,-0.71,0.34,-0.48,-0.03,-2.82,-0.20,0.00
3.427,-0.83,0.27,-0.30,-0.03,-2.82,-0.20,0.00
3.428,-0.83,0.27,-0.30,-0.33,-2.51,0.36,0.00
3.465,-0.84,0.29,-0.17,-0.33,-2.51,0.36,0.00
3.471,-0.84,0.29,-0.17,-0.35,-2.44,0.01,0.00
3.539,-0.84,0.29,-0.17,-0.22,-2.40,0.62,0.00
3.61,-0.88,0.34,-0.04,-0.22,-2.40,0.62,0.00
3.614,-0.88,0.34,-0.04,-0.03,-2.49,0.88,0.00
3.655,-0.84,0.36,0.16,-0.03,-2.49,0.88,0.00
3.672,-0.84,0.36,0.16,-0.83,-2.36,-0.46,0.00
3.718,-0.97,0.44,0.38,-0.83,-2.36,-0.46,0.00
3.74,-0.97,0.44,0.38,-1.10,-1.61,-0.10,0.00
3.781,-0.70,0.40,0.46,-1.10,-1.61,-0.10,0.00
3.807,-0.70,0.40,0.46,-0.53,-1.43,-0.13,0.00
3.845,-0.72,0.33,0.52,-0.53,-1.43,-0.13,0.00
3.874,-0.72,0.33,0.52,-0.63,-2.40,-0.51,0.00
3.908,-0.71,0.28,0.65,-0.63,-2.40,-0.51,0.00
3.941,-0.71,0.28,0.65,-0.68,-2.00,0.00,0.00
3.979,-0.53,0.27,0.78,-0.68,-2.00,0.00,0.00
4.008,-0.53,0.27,0.78,-0.66,-3.89,-1.22,0.00
4.035,-0.43,0.25,0.86,-0.66,-3.89,-1.22,0.00
4.075,-0.43,0.25,0.86,-0.68,-2.73,-0.83,0.00
4.099,-0.19,0.16,1.02,-0.68,-2.73,-0.83,0.00
4.142,-0.19,0.16,1.02,-0.60,-4.57,-1.04,0.00
4.162,0.01,0.12,1.06,-0.60,-4.57,-1.04,0.00
4.211,0.01,0.12,1.06,-0.41,-2.49,-0.31,0.00
4.226,0.23,0.06,1.05,-0.41,-2.49,-0.31,0.00
4.277,0.23,0.06,1.05,-0.17,-2.10,-0.40,0.00
4.29,0.38,0.04,0.97,-0.17,-2.10,-0.40,0.00
4.344,0.38,0.04,0.97,0.74,-0.56,0.05,0.00
4.353,0.49,0.05,1.02,0.74,-0.56,0.05,0.00
4.411,0.49,0.05,1.02,-0.41,-0.92,-0.35,0.00
4.416,0.44,0.12,0.89,-0.41,-0.92,-0.35,0.00
4.478,0.44,0.12,0.89,-0.04,-1.56,0.71,0.00
4.479,0.57,0.13,0.79,-0.04,-1.56,0.71,0.00
4.543,0.68,0.01,0.82,-0.04,-1.56,0.71,0.00
4.545,0.68,0.01,0.82,0.50,-1.42,0.40,0.00
4.607,0.72,0.09,0.72,0.50,-1.42,0.40,0.00
4.613,0.72,0.09,0.72,-0.00,-2.88,-0.23,0.00
4.679,0.72,0.09,0.72,0.35,-3.11,0.30,0.00
4.734,0.86,0.08,0.48,0.35,-3.11,0.30,0.00
4.753,0.86,0.08,0.48,-0.22,-3.22,-0.19,0.00
4.797,0.88,0.08,0.45,-0.22,-3.22,-0.19,0.00
4.815,0.88,0.08,0.45,-0.47,-3.19,-0.96,0.00
4.86,0.96,0.16,0.18,-0.47,-3.19,-0.96,0.00
4.881,0.96,0.16,0.18,-0.32,-2.47,-0.23,0.00
4.924,1.07,0.15,-0.03,-0.32,-2.47,-0.23,0.00
4.948,1.07,0.15,-0.03,0.08,-1.96,-0.44,0.00
4.989,1.02,0.15,-0.16,0.08,-1.96,-0.44,0.00
5.015,1.02,0.15,-0.16,-0.43,-1.89,-0.67,0.00
5.051,0.95,0.23,-0.23,-0.43,-1.89,-0.67,0.00
5.093,0.95,0.23,-0.23,-0.32,-2.05,-0.58,0.00
5.115,0.90,0.23,-0.37,-0.32,-2.05,-0.58,0.00
5.149,0.90,0.23,-0.37,0.13,-1.38,-0.06,0.00
5.217,0.90,0.23,-0.37,0.09,-1.34,-0.15,0.00
5.241,0.86,0.24,-0.47,0.09,-1.34,-0.15,0.00
5.242,0.76,0.25,-0.57,0.09,-1.34,-0.15,0.00
5.283,0.76,0.25,-0.57,0.43,-1.84,0.17,0.00
5.305,0.71,0.27,-0.67,0.43,-1.84,0.17,0.00
5.351,0.71,0.27,-0.67,0.53,-1.85,-0.30,0.00
5.368,0.64,0.24,-0.74,0.53,-1.85,-0.30,0.00
5.418,0.64,0.24,-0.74,0.09,-1.72,-0.01,0.00
5.432,0.56,0.24,-0.77,0.09,-1.72,-0.01,0.00
5.485,0.56,0.24,-0.77,0.17,-1.53,0.01,0.00
5.495,0.45,0.22,-0.86,0.17,-1.53,0.01,0.00
5.552,0.45,0.22,-0.86,0.08,-1.48,0.01,0.00
5.559,0.33,0.22,-0.90,0.08,-1.48,0.01,0.00
5.62,0.33,0.22,-0.90,0.21,-1.42,0.10,0.00
5.622,0.26,0.20,-0.95,0.21,-1.42,0.10,0.00
5.686,0.14,0.21,-0.93,0.21,-1.42,0.10,0.00
5.687,0.14,0.21,-0.93,0.29,-1.56,0.15,0.00
5.75,0.02,0.17,-0.95,0.29,-1.56,0.15,0.00
5.755,0.02,0.17,-0.95,0.16,-1.65,0.31,0.00
5.82,0.01,0.20,-0.90,0.16,-1.65,0.31,0.00
5.828,0.01,0.20,-0.90,0.09,-0.94,-0.11,0.00
5.923,0.01,0.20,-0.90,0.64,-1.67,0.21,0.00
5.945,-0.04,0.15,-0.94,0.64,-1.67,0.21,0.00
5.974,-0.04,0.15,-0.94,-0.41,-0.47,-0.23,0.00
6.021,-0.18,0.09,-0.98,-0.41,-0.47,-0.23,0.00
6.024,-0.18,0.09,-0.98,-0.31,-1.22,0.18,0.00
6.067,-0.24,0.13,-0.90,-0.31,-1.22,0.18,0.00
6.09,-0.24,0.13,-0.90,-0.09,-0.89,-0.05,0.00
6.131,-0.29,0.20,-0.82,-0.09,-0.89,-0.05,0.00
6.194,-0.29,0.20,-0.82,-0.90,0.42,0.12,0.00
6.208,-0.32,0.16,-0.82,-0.90,0.42,0.12,0.00
6.242,-0.32,0.16,-0.82,-0.72,-0.55,-0.46,0.00
6.26,-0.29,0.19,-0.98,-0.72,-0.55,-0.46,0.00
6.295,-0.29,0.19,-0.98,0.76,-1.21,-0.30,0.00
6.321,-0.44,0.23,-0.92,0.76,-1.21,-0.30,0.00
6.359,-0.44,0.23,-0.92,0.40,-0.31,-0.50,0.00
6.386,-0.48,0.21,-0.81,0.40,-0.31,-0.50,0.00
6.447,-0.48,0.21,-0.81,-0.47,-0.46,-0.17,0.00
6.46,-0.48,0.20,-0.77,-0.47,-0.46,-0.17,0.00
6.493,-0.48,0.20,-0.77,-0.57,-1.20,-0.04,0.00
6.512,-0.52,0.26,-0.79,-0.57,-1.20,-0.04,0.00
6.6,-0.52,0.26,-0.79,0.24,-1.76,-0.45,0.00
6.607,-0.54,0.21,-0.77,0.24,-1.76,-0.45,0.00
6.636,-0.54,0.21,-0.77,0.06,-2.55,0.11,0.00
6.641,-0.59,0.08,-0.59,0.06,-2.55,0.11,0.00
6.707,-0.59,0.08,-0.59,-0.62,-3.16,-0.03,0.00
6.709,-0.64,0.10,-0.47,-0.62,-3.16,-0.03,0.00
6.786,-0.64,0.10,-0.47,-0.40,-3.14,0.54,0.00
6.788,-0.76,0.22,-0.33,-0.40,-3.14,0.54,0.00
6.838,-0.76,0.22,-0.33,-0.13,-3.40,0.77,0.00
6.84,-0.76,0.21,-0.16,-0.13,-3.40,0.77,0.00
6.893,-0.81,0.23,0.13,-0.13,-3.40,0.77,0.00
6.895,-0.81,0.23,0.13,-0.03,-3.98,0.78,0.00
6.958,-1.14,0.37,0.38,-0.03,-3.98,0.78,0.00
6.966,-1.14,0.37,0.38,-0.10,-3.17,-0.75,0.00
7.029,-1.14,0.37,0.38,-1.28,-3.56,0.08,0.00
7.083,-0.56,0.12,0.69,-1.28,-3.56,0.08,0.00
7.099,-0.56,0.12,0.69,-0.23,-2.82,-0.21,0.00
7.146,-0.58,0.30,0.79,-0.23,-2.82,-0.21,0.00
7.164,-0.58,0.30,0.79,-1.40,-3.12,-0.64,0.00
7.216,-0.66,0.16,1.00,-1.40,-3.12,-0.64,0.00
7.231,-0.66,0.16,1.00,-0.41,-2.31,-0.18,0.00
7.273,-0.16,0.10,1.09,-0.41,-2.31,-0.18,0.00
7.298,-0.16,0.10,1.09,-0.85,-3.91,-0.54,0.00
7.336,-0.12,0.06,1.01,-0.85,-3.91,-0.54,0.00
7.371,-0.12,0.06,1.01,-1.12,-4.41,-1.23,0.00
7.4,0.16,-0.01,0.99,-1.12,-4.41,-1.23,0.00
7.432,0.16,-0.01,0.99,-0.73,-2.97,-1.10,0.00
7.464,0.51,-0.09,0.98,-0.73,-2.97,-1.10,0.00
7.507,0.51,-0.09,0.98,-0.42,-2.82,-1.26,0.00
7.527,0.71,-0.09,0.86,-0.42,-2.82,-1.26,0.00
7.566,0.71,-0.09,0.86,-0.34,-2.08,-1.37,0.00
7.59,0.76,-0.03,0.77,-0.34,-2.08,-1.37,0.00
7.634,0.76,-0.03,0.77,0.25,-0.64,0.23,0.00
7.654,0.70,0.04,0.71,0.25,-0.64,0.23,0.00
7.701,0.70,0.04,0.71,0.48,-0.00,-0.45,0.00
7.717,0.80,0.02,0.71,0.48,-0.00,-0.45,0.00
7.773,0.80,0.02,0.71,0.42,-2.37,-0.05,0.00
7.781,0.87,0.07,0.50,0.42,-2.37,-0.05,0.00
7.835,0.87,0.07,0.50,2.16,-4.03,-0.73,0.00
7.844,0.81,0.18,0.28,2.16,-4.03,-0.73,0.00
7.902,0.81,0.18,0.28,1.17,-4.10,-0.30,0.00
7.908,1.08,0.25,0.26,1.17,-4.10,-0.30,0.00
7.969,1.08,0.25,0.26,-0.19,-3.65,0.33,0.00
7.972,0.97,0.27,0.07,-0.19,-3.65,0.33,0.00
8.035,0.88,0.22,-0.16,-0.19,-3.65,0.33,0.00
8.036,0.88,0.22,-0.16,-0.76,-3.34,-0.64,0.00
8.098,0.91,0.31,-0.38,-0.76,-3.34,-0.64,0.00
8.103,0.91,0.31,-0.38,-1.30,-3.15,-0.52,0.00
8.167,0.77,0.30,-0.58,-1.30,-3.15,-0.52,0.00
8.171,0.77,0.30,-0.58,-0.73,-1.92,-0.05,0.00
8.238,0.77,0.30,-0.58,0.25,-2.31,0.12,0.00
8.289,0.59,0.35,-0.76,0.25,-2.31,0.12,0.00
8.305,0.59,0.35,-0.76,-0.04,-1.04,-0.06,0.00
8.353,0.57,0.46,-0.75,-0.04,-1.04,-0.06,0.00
8.372,0.57,0.46,-0.75,0.03,-1.22,-1.13,0.00
8.416,0.53,0.36,-0.85,0.03,-1.22,-1.13,0.00
8.44,0.53,0.36,-0.85,0.88,-2.42,-0.45,0.00
8.479,0.43,0.38,-0.94,0.88,-2.42,-0.45,0.00
8.506,0.43,0.38,-0.94,0.34,-2.62,-0.27,0.00
8.553,0.20,0.35,-0.90,0.34,-2.62,-0.27,0.00
8.573,0.20,0.35,-0.90,1.20,-3.73,0.08,0.00
8.606,0.02,0.29,-0.83,1.20,-3.73,0.08,0.00
8.641,0.02,0.29,-0.83,0.39,-2.15,-0.28,0.00
8.674,-0.19,0.23,-0.80,0.39,-2.15,-0.28,0.00
8.712,-0.19,0.23,-0.80,1.10,-2.55,0.13,0.00
8.746,-0.40,0.17,-0.78,1.10,-2.55,0.13,0.00
8.795,-0.40,0.17,-0.78,0.44,-1.23,-0.06,0.00
8.798,-0.45,0.16,-0.80,0.44,-1.23,-0.06,0.00
8.843,-0.45,0.16,-0.80,0.12,-1.22,-0.41,0.00
8.867,-0.44,0.17,-0.81,0.12,-1.22,-0.41,0.00
8.909,-0.44,0.17,-0.81,-0.02,-1.69,-0.37,0.00
8.924,-0.53,0.12,-0.74,-0.02,-1.69,-0.37,0.00
8.981,-0.53,0.12,-0.74,-0.01,-1.51,-0.75,0.00
8.997,-0.64,0.10,-0.61,-0.01,-1.51,-0.75,0.00
9.045,-0.64,0.10,-0.61,0.25,-2.36,-0.66,0.00
9.055,-0.71,0.10,-0.55,0.25,-2.36,-0.66,0.00
9.112,-0.71,0.10,-0.55,-0.15,-3.86,-0.73,0.00
9.117,-0.82,0.00,-0.17,-0.15,-3.86,-0.73,0.00
9.178,-0.80,0.01,-0.06,-0.15,-3.86,-0.73,0.00
9.18,-0.80,0.01,-0.06,-0.40,-4.78,0.11,0.00
9.258,-0.85,-0.04,0.14,-0.40,-4.78,0.11,0.00
9.259,-0.85,-0.04,0.14,1.22,-4.80,0.96,0.00
9.305,-0.88,0.12,0.59,1.22,-4.80,0.96,0.00
9.312,-0.88,0.12,0.59,1.95,-4.54,1.04,0.00
9.379,-0.88,0.12,0.59,-1.05,-2.25,-0.89,0.00
9.432,-1.10,0.28,1.18,-1.05,-2.25,-0.89,0.00
9.447,-1.10,0.28,1.18,-1.02,-2.48,-0.36,0.00
9.495,-0.59,0.05,0.76,-1.02,-2.48,-0.36,0.00
9.513,-0.59,0.05,0.76,-0.92,-2.92,0.55,0.00
9.559,-0.45,-0.05,0.77,-0.92,-2.92,0.55,0.00
9.58,-0.45,-0.05,0.77,-0.26,-2.72,-0.73,0.00
9.622,-0.46,0.07,0.98,-0.26,-2.72,-0.73,0.00
9.648,-0.46,0.07,0.98,-0.06,-1.55,0.37,0.00
9.686,-0.22,-0.08,0.98,-0.06,-1.55,0.37,0.00
9.715,-0.22,-0.08,0.98,0.74,-1.24,-0.48,0.00
9.749,-0.06,-0.07,1.01,0.74,-1.24,-0.48,0.00
9.786,-0.06,-0.07,1.01,1.25,-0.08,0.21,0.00
9.814,-0.02,0.02,0.97,1.25,-0.08,0.21,0.00
9.849,-0.02,0.02,0.97,0.34,-0.37,-0.21,0.00
9.876,0.04,0.09,0.93,0.34,-0.37,-0.21,0.00
9.918,0.04,0.09,0.93,0.39,0.09,0.07,0.00
9.94,0.04,0.10,0.93,0.39,0.09,0.07,0.00
9.983,0.04,0.10,0.93,0.09,-0.14,0.16,0.00
10.003,0.04,0.14,0.92,0.09,-0.14,0.16,0.00
10.05,0.04,0.14,0.92,0.38,0.24,0.18,0.00
10.069,0.05,0.14,0.94,0.38,0.24,0.18,0.00
10.117,0.05,0.14,0.94,0.03,0.01,0.13,0.00
10.131,0.04,0.17,0.96,0.03,0.01,0.13,0.00
10.185,0.04,0.17,0.96,0.03,0.11,0.18,0.00
10.193,0.03,0.17,0.97,0.03,0.11,0.18,0.00
10.252,0.03,0.17,0.97,0.17,0.20,0.08,0.00
10.257,0.05,0.17,0.97,0.17,0.20,0.08,0.00
10.325,0.05,0.17,0.97,0.03,0.10,0.11,0.00
10.326,0.02,0.19,0.96,0.03,0.10,0.11,0.00
10.384,0.03,0.18,0.97,0.03,0.10,0.11,0.00
10.386,0.03,0.18,0.97,-0.07,-0.07,-0.03,0.00
10.448,0.02,0.17,0.98,-0.07,-0.07,-0.03,0.00
10.464,0.02,0.17,0.98,-0.06,-0.00,0.01,0.00
