time,x,y,z,gx,gy,gz,barometer
0.047,-0.03,0.08,0.98,0.04,0.15,0.12,0.00
0.099,-0.05,0.09,0.99,0.04,0.15,0.12,0.00
0.114,-0.05,0.09,0.99,0.19,-0.10,-0.03,0.00
0.164,-0.02,0.09,0.98,0.19,-0.10,-0.03,0.00
0.181,-0.02,0.09,0.98,0.15,-0.36,-0.05,0.00
0.228,-0.04,0.11,0.96,0.15,-0.36,-0.05,0.00
0.248,-0.04,0.11,0.96,0.20,-0.36,0.14,0.00
0.289,-0.03,0.12,1.00,0.20,-0.36,0.14,0.00
0.316,-0.03,0.12,1.00,-0.63,-0.25,-0.01,0.00
0.353,0.04,0.13,0.98,-0.63,-0.25,-0.01,0.00
0.383,0.04,0.13,0.98,-0.28,-0.01,-0.26,0.00
0.425,0.07,0.08,0.97,-0.28,-0.01,-0.26,0.00
0.45,0.07,0.08,0.97,-0.34,-0.06,-0.08,0.00
0.48,0.05,0.05,0.96,-0.34,-0.06,-0.08,0.00
0.517,0.05,0.05,0.96,0.19,-0.20,0.10,0.00
0.563,0.05,0.04,0.98,0.19,-0.20,0.10,0.00
0.585,0.05,0.04,0.98,0.07,-0.14,-0.03,0.00
0.607,0.08,0.05,1.00,0.07,-0.14,-0.03,0.00
0.653,0.08,0.05,1.00,-0.14,-0.13,-0.06,0.00
0.694,0.08,0.07,0.96,-0.14,-0.13,-0.06,0.00
0.719,0.08,0.07,0.96,-0.02,-0.14,-0.03,0.00
0.735,0.07,0.07,0.97,-0.02,-0.14,-0.03,0.00
0.786,0.07,0.07,0.97,-0.07,-0.02,0.05,0.00
0.833,0.11,0.04,1.00,-0.07,-0.02,0.05,0.00
0.852,0.11,0.04,1.00,-0.19,0.19,-0.02,0.00
0.861,0.08,0.03,0.98,-0.19,0.19,-0.02,0.00
0.92,0.08,0.03,0.98,-0.33,-0.18,0.21,0.00
0.924,0.10,0.02,0.97,-0.33,-0.18,0.21,0.00
0.988,0.12,0.02,0.96,-0.33,-0.18,0.21,0.00
0.99,0.12,0.02,0.96,0.00,-0.38,-0.03,0.00
1.066,0.11,0.03,0.98,0.00,-0.38,-0.03,0.00
1.087,0.11,0.03,0.98,-0.08,-0.71,-0.20,0.00
1.121,0.21,0.02,0.95,-0.08,-0.71,-0.20,0.00
1.125,0.21,0.02,0.95,-0.10,-0.76,-0.21,0.00
1.189,0.21,0.02,0.95,0.14,-0.86,-0.33,0.00
1.242,0.23,0.02,0.94,0.14,-0.86,-0.33,0.00
1.256,0.23,0.02,0.94,0.16,-0.85,-0.19,0.00
1.307,0.26,0.03,0.89,0.16,-0.85,-0.19,0.00
1.33,0.26,0.03,0.89,0.32,-1.30,-0.29,0.00
