 
  ,time,x,y,z
, 7.550, -0.126, 0.976, -0.836
, 7.600, -0.134, 0.976, -0.844
, 7.650, -0.126, 0.976, -0.827
, 7.700, -0.126, 0.992, -0.844
, 7.750, -0.157, 0.938, -0.811
, 7.800, -0.126, 0.961, -0.893
, 7.850, -0.134, 0.992, -0.803
, 7.900, -0.141, 0.961, -0.827
, 7.950, -0.111, 0.984, -0.910
, 8.000, -0.141, 0.976, -0.836
, 8.050, -0.126, 0.984, -0.901
, 8.100, -0.134, 0.969, -0.827
, 8.150, -0.165, 0.930, -0.827
, 8.200, -0.134, 0.976, -0.860
, 8.250, -0.126, 0.984, -0.844
, 8.300, -0.103, 0.992, -0.877
, 8.350, -0.180, 1.038, -0.811
, 8.400, -0.126, 0.914, -0.860
, 8.450, -0.157, 0.961, -0.844
, 8.500, -0.165, 1.023, -0.819
, 8.550, -0.134, 0.953, -0.844
, 8.600, -0.134, 0.984, -0.827
, 8.650, -0.180, 0.969, -0.860
, 8.700, -0.095, 0.999, -0.901
, 8.750, -0.141, 0.953, -0.803
, 8.800, -0.134, 0.999, -0.836
, 8.850, -0.157, 0.961, -0.819
, 8.900, -0.126, 1.046, -0.868
, 8.950, -0.141, 0.961, -0.836
, 9.000, -0.111, 1.015, -0.811
, 9.050, -0.118, 0.969, -0.811
, 9.100, -0.180, 1.030, -0.852
, 9.150, -0.134, 0.976, -0.811
, 9.200, -0.126, 0.992, -0.737
, 9.250, -0.126, 0.938, -0.860
, 9.300, -0.103, 0.961, -0.762
, 9.350, -0.126, 0.969, -0.794
, 9.400, -0.134, 0.976, -0.753
, 9.450, -0.111, 0.961, -0.786
, 9.500, -0.126, 0.969, -0.762
, 9.550, -0.111, 0.969, -0.803
, 9.600, -0.118, 0.969, -0.786
, 9.650, -0.126, 0.976, -0.819
, 9.700, -0.111, 0.969, -0.819
, 9.750, -0.111, 0.976, -0.786
, 9.800, -0.149, 0.969, -0.803
, 9.850, -0.118, 0.969, -0.811
, 9.900, -0.111, 0.976, -0.737
, 9.950, -0.126, 0.953, -0.811
, 10.000, -0.134, 0.976, -0.819
, 10.050, -0.134, 0.961, -0.844
, 10.100, -0.118, 0.992, -0.794
, 10.150, -0.126, 0.969, -0.827
, 10.200, -0.126, 0.984, -0.852
, 10.250, -0.118, 0.969, -0.794
, 10.300, -0.141, 0.976, -0.852
, 10.350, -0.126, 0.984, -0.844
, 10.400, -0.118, 0.969, -0.827
, 10.450, -0.149, 1.007, -0.844
, 10.500, -0.118, 0.961, -0.852
, 10.550, -0.134, 0.976, -0.844
, 10.600, -0.118, 1.007, -0.827
, 10.650, -0.103, 0.945, -0.901
, 10.700, -0.134, 0.969, -0.844
, 10.750, -0.149, 1.023, -0.836
, 10.800, -0.149, 0.992, -0.860
, 10.850, -0.134, 0.999, -0.836
, 10.900, -0.103, 1.007, -0.819
, 10.950, -0.080, 0.899, -0.984
, 11.000, -0.111, 1.023, -0.827
, 11.050, -0.149, 0.953, -0.778
, 11.100, -0.141, 0.945, -0.852
, 11.150, -0.234, 0.969, -0.844
, 11.200, -0.126, 0.953, -0.852
, 11.250, -0.095, 1.030, -0.762
, 11.300, 0.021, 1.023, -0.885
, 11.350, -0.041, 0.891, -1.041
, 11.400, -0.265, 0.984, -0.844
, 11.450, -0.304, 0.969, -0.794
, 11.500, -0.149, 0.930, -0.877
, 11.550, -0.056, 1.053, -0.819
, 11.600, -0.056, 0.961, -0.910
, 11.650, -0.118, 0.992, -0.860
, 11.700, -0.149, 0.999, -0.844
, 11.750, -0.180, 0.945, -0.893
, 11.800, -0.134, 0.976, -0.885
, 11.850, -0.118, 0.976, -0.877
, 11.900, -0.126, 0.976, -0.844
, 11.950, -0.141, 0.976, -0.868
, 12.000, -0.165, 0.969, -0.860
, 12.050, -0.188, 1.053, -0.811
, 12.100, -0.126, 0.969, -0.827
, 12.150, -0.172, 0.938, -0.893
, 12.200, -0.126, 0.945, -0.910
, 12.250, -0.172, 0.969, -0.836
, 12.300, -0.157, 0.961, -0.836
, 12.350, -0.134, 0.969, -0.794
, 12.400, -0.134, 0.961, -0.860
, 12.450, -0.141, 0.984, -0.844
, 12.500, -0.157, 0.976, -0.827
, 12.550, -0.149, 0.976, -0.803
, 12.600, -0.141, 0.992, -0.885
, 12.650, -0.134, 0.976, -0.860
, 12.700, -0.134, 0.984, -0.836
, 12.750, -0.134, 0.969, -0.836
, 12.800, -0.157, 0.984, -0.860
, 12.850, -0.149, 0.976, -0.819
, 12.900, -0.126, 0.969, -0.836
, 12.950, -0.134, 0.976, -0.827
, 13.000, -0.149, 0.976, -0.852
, 13.050, -0.134, 0.976, -0.852
, 13.100, -0.141, 0.969, -0.860
, 13.150, -0.141, 0.984, -0.827
, 13.200, -0.141, 0.976, -0.860
, 13.250, -0.149, 0.976, -0.836
, 13.300, -0.134, 0.976, -0.844
, 13.350, -0.141, 0.976, -0.852
, 13.400, -0.141, 0.976, -0.868
, 13.450, -0.134, 0.984, -0.893
, 13.500, -0.149, 0.976, -0.885
, 13.550, -0.141, 0.984, -0.860
, 13.600, -0.134, 0.976, -0.877
, 13.650, -0.141, 0.984, -0.860
, 13.700, -0.149, 0.984, -0.885
, 13.750, -0.134, 0.976, -0.868
, 13.800, -0.141, 0.976, -0.877
, 13.850, -0.134, 0.976, -0.860
, 13.900, -0.134, 0.976, -0.844
, 13.950, -0.134, 0.984, -0.885
, 14.000, -0.141, 0.992, -0.877
, 14.050, -0.141, 0.976, -0.877
, 14.100, -0.141, 0.984, -0.860
, 14.150, -0.149, 0.984, -0.877
, 14.200, -0.141, 0.976, -0.860
, 14.250, -0.141, 0.984, -0.844
, 14.300, -0.141, 0.984, -0.819
, 14.350, -0.149, 0.976, -0.844
, 14.400, -0.141, 0.992, -0.819
, 14.450, -0.141, 0.976, -0.844
, 14.500, -0.141, 0.976, -0.860
, 14.550, -0.141, 0.984, -0.836
, 14.600, -0.141, 0.976, -0.844
, 14.650, -0.141, 0.976, -0.844
, 14.700, -0.141, 0.976, -0.844
, 14.750, -0.141, 0.976, -0.868
, 14.800, -0.149, 0.976, -0.844
, 14.850, -0.149, 0.976, -0.803
, 14.900, -0.134, 0.969, -0.852
, 14.950, -0.134, 0.969, -0.836
, 15.000, -0.141, 0.976, -0.819
, 15.050, -0.134, 0.976, -0.844
, 15.100, -0.141, 0.976, -0.827
, 15.150, -0.134, 0.976, -0.811
, 15.200, -0.141, 0.969, -0.811
, 15.250, -0.134, 0.984, -0.827
, 15.300, -0.141, 0.976, -0.811
, 15.350, -0.134, 0.969, -0.819
, 15.400, -0.141, 0.976, -0.819
, 15.450, -0.134, 0.976, -0.836
, 15.500, -0.141, 0.976, -0.827
, 15.550, -0.141, 0.976, -0.836
, 15.600, -0.141, 0.976, -0.811
, 15.650, -0.141, 0.969, -0.844
, 15.700, -0.149, 0.984, -0.819
, 15.750, -0.134, 0.999, -0.827
, 15.800, -0.141, 0.969, -0.852
, 15.850, -0.165, 0.976, -0.844
, 15.900, -0.134, 0.984, -0.852
, 15.950, -0.141, 0.976, -0.827
, 16.000, -0.149, 0.976, -0.860
, 16.050, -0.141, 0.922, -1.074
, 16.100, -0.165, 1.046, -0.712
, 16.150, -0.165, 0.938, -0.753
, 16.200, -0.157, 0.992, -0.942
, 16.250, -0.180, 0.930, -0.762
, 16.300, -0.165, 0.953, -0.860
, 16.350, -0.080, 0.922, -0.786
, 16.400, -0.165, 0.976, -0.885
, 16.450, -0.172, 0.961, -0.827
, 16.500, -0.103, 1.015, -0.877
, 16.550, -0.196, 1.015, -0.827
, 16.600, -0.141, 0.969, -0.877
, 16.650, -0.002, 1.007, -0.852
, 16.700, -0.172, 0.969, -0.885
, 16.750, -0.002, 1.030, -0.827
, 16.800, -0.211, 0.992, -0.819
, 16.850, -0.041, 0.953, -0.819
, 16.900, -0.149, 0.984, -0.918
, 16.950, -0.049, 0.999, -0.901
, 17.000, -0.033, 1.023, -0.860
, 17.050, -0.049, 0.984, -0.893
, 17.100, -0.056, 0.984, -0.868
, 17.150, -0.080, 0.984, -0.868
, 17.200, -0.087, 0.999, -0.844
, 17.250, -0.072, 0.992, -0.860
, 17.300, -0.056, 0.984, -0.868
, 17.350, -0.080, 0.984, -0.803
, 17.400, -0.064, 0.992, -0.827
, 17.450, -0.018, 0.984, -0.844
, 17.500, -0.072, 0.969, -0.844
, 17.550, -0.064, 0.984, -0.836
, 17.600, -0.072, 0.999, -0.794
, 17.650, -0.041, 0.969, -0.811
, 17.700, -0.049, 0.976, -0.827
, 17.750, -0.056, 0.976, -0.794
, 17.800, -0.072, 0.984, -0.803
, 17.850, -0.064, 0.969, -0.836
, 17.900, -0.056, 0.976, -0.762
, 17.950, -0.041, 0.969, -0.803
, 18.000, -0.049, 0.984, -0.762
, 18.050, -0.056, 0.984, -0.794
, 18.100, -0.026, 0.976, -0.770
, 18.150, -0.041, 0.976, -0.778
, 18.200, -0.041, 0.961, -0.770
, 18.250, -0.041, 0.976, -0.778
, 18.300, -0.041, 0.976, -0.753
, 18.350, -0.049, 0.976, -0.778
, 18.400, -0.041, 0.976, -0.778
, 18.450, -0.056, 0.976, -0.786
, 18.500, -0.041, 0.976, -0.770
, 18.550, -0.049, 0.976, -0.778
, 18.600, -0.041, 0.984, -0.794
, 18.650, -0.049, 0.984, -0.786
, 18.700, -0.056, 0.969, -0.811
, 18.750, -0.049, 0.984, -0.786
, 18.800, -0.041, 0.976, -0.786
, 18.850, -0.041, 0.984, -0.811
, 18.900, -0.056, 0.984, -0.778
, 18.950, -0.041, 0.984, -0.811
, 19.000, -0.041, 0.976, -0.819
